1,0,-1,0,0,0,0,0,0,0,0,0
0,1,-1,0,0,0,0,0,0,0,0,0
-1,-1,4,0,-1,0,0,-1,0,0,0,0
0,0,0,1,-1,0,0,0,0,0,0,0
0,0,-1,-1,3,-1,0,0,0,0,0,0
0,0,0,0,-1,1,0,0,0,0,0,0
0,0,0,0,0,0,1,-1,0,0,0,0
0,0,-1,0,0,0,-1,4,-1,-1,0,0
0,0,0,0,0,0,0,-1,1,0,0,0
0,0,0,0,0,0,0,-1,0,3,-1,-1
0,0,0,0,0,0,0,0,0,-1,1,0
0,0,0,0,0,0,0,0,0,-1,0,1
0.16510038793703624,0.16510038793703632,0.13677363967315975,0.39858759571065255,0.3302007758740728,0.3985875957106529,-0.165100387937036,-0.13677363967315975,-0.16510038793703632,-0.3302007758740726,-0.3985875957106525,-0.3985875957106525
{1,2,3,4,5,6},{7,8,9,10,11,12}
